"66.3%";"18 Wheeler"
"66.3%";"NFL Amateur"
"65.2%";"Kathie"
"64.1%";"Lady Luck"
"64.1%";"Toothfairy"
"64.1%";"Wildcat Wonder"
"63.0%";"Scotsman357"
"63.0%";"Steel Got a Chance"
"62.0%";"Empty Nesters"
"59.8%";"AirDreamer"
"58.7%";"ANTIC"
"58.7%";"Super Brawler"
"57.6%";"ScottW"
"57.6%";"The Fighting Ducks"
"56.5%";"Happy Campers"
"56.5%";"Merida"
"55.4%";"Alaskan Fisherman"
"55.4%";"Archie"
"55.4%";"DavidD"
"55.4%";"Exploding Brain"
"55.4%";"SandyT"
"55.4%";"Summerville 5"
"54.3%";"beach goer"
"54.3%";"Cooper"
"54.3%";"Peanuts"
"54.3%";"Tight End"
"52.2%";"Red Bird"
"52.2%";"Titos Totaler"
"51.1%";"4Horsemen"
"51.1%";"Ginger"
"51.1%";"Skinny"
"50.0%";"Kiver"
"48.9%";"Hawk Eye"
"47.8%";"Tenn Vols"
"41.3%";"Johor Tigress"
"41.3%";"Mouse Girl"
"40.2%";"SandyLand"
"37.0%";"KathyF"
"22.8%";"MacDewars"
"19.6%";"Snow Storm"
"10.9%";"Bucket Boomers"
"1.1%";"Red Gorillaz"
"0.0%";"DubCut"
