"67.8%";"18 Wheeler"
"67.8%";"NFL Amateur"
"66.7%";"Kathie"
"65.6%";"Lady Luck"
"65.6%";"Toothfairy"
"65.6%";"Wildcat Wonder"
"65.2%";"Scotsman357"
"64.4%";"Steel Got a Chance"
"64.3%";"Snow Storm"
"63.3%";"Empty Nesters"
"62.3%";"Johor Tigress"
"61.7%";"Tight End"
"61.1%";"AirDreamer"
"60.2%";"The Fighting Ducks"
"60.0%";"ANTIC"
"60.0%";"Super Brawler"
"59.5%";"Tenn Vols"
"58.9%";"ScottW"
"58.4%";"Merida"
"57.8%";"Happy Campers"
"57.3%";"Exploding Brain"
"56.7%";"Alaskan Fisherman"
"56.7%";"Archie"
"56.7%";"DavidD"
"56.7%";"SandyT"
"56.7%";"Summerville 5"
"55.6%";"beach goer"
"55.6%";"Cooper"
"55.6%";"Peanuts"
"54.5%";"Red Bird"
"53.9%";"Titos Totaler"
"52.8%";"Ginger"
"52.2%";"4Horsemen"
"52.2%";"Skinny"
"51.7%";"Kiver"
"51.4%";"Mouse Girl"
"50.0%";"Hawk Eye"
"50.0%";"Red Gorillaz"
"49.3%";"SandyLand"
"45.7%";"MacDewars"
"45.3%";"KathyF"
"30.3%";"Bucket Boomers"
"0.0%";"DubCut"
