"61";"18 Wheeler"
"61";"NFL Amateur"
"60";"Kathie"
"59";"Lady Luck"
"59";"Toothfairy"
"59";"Wildcat Wonder"
"58";"Scotsman357"
"58";"Steel Got a Chance"
"57";"Empty Nesters"
"55";"AirDreamer"
"54";"ANTIC"
"54";"Super Brawler"
"53";"ScottW"
"53";"The Fighting Ducks"
"52";"Happy Campers"
"52";"Merida"
"51";"Alaskan Fisherman"
"51";"Archie"
"51";"DavidD"
"51";"Exploding Brain"
"51";"SandyT"
"51";"Summerville 5"
"50";"beach goer"
"50";"Cooper"
"50";"Peanuts"
"50";"Tight End"
"48";"Red Bird"
"48";"Titos Totaler"
"47";"4Horsemen"
"47";"Ginger"
"47";"Skinny"
"46";"Kiver"
"45";"Hawk Eye"
"44";"Tenn Vols"
"38";"Johor Tigress"
"38";"Mouse Girl"
"37";"SandyLand"
"34";"KathyF"
"21";"MacDewars"
"18";"Snow Storm"
"10";"Bucket Boomers"
"1";"Red Gorillaz"
"0";"DubCut"
